,player,AliceCLi,DDisawesome,Oscarzhang818,SophiaZ2022,augustinewz,james2945,taionemm,wallacewang1214,yaohengli,yumitang
0,AliceCLi,,1.0,,,,0.0,1.0,,,0.5
1,DDisawesome,1.0,,1.0,0.5,1.0,,,,0.5,1.0
2,Oscarzhang818,,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,
3,SophiaZ2022,,0.5,1.0,,0.0,0.0,0.5,,,1.0
4,augustinewz,,1.0,0.0,0.0,,,1.0,1.0,0.0,
5,james2945,0.0,,0.0,0.0,,,,0.0,1.0,0.5
6,taionemm,1.0,,0.0,0.5,1.0,,,1.0,1.0,0.5
7,wallacewang1214,,,1.0,,1.0,0.0,1.0,,1.0,1.0
8,yaohengli,,0.5,1.0,,0.0,1.0,1.0,1.0,,0.0
9,yumitang,0.5,1.0,,1.0,,0.5,0.5,1.0,0.0,
